n_threads,time
2,0.31
2,0.27
2,0.28
2,0.27
2,0.25
3,0.24
3,0.20
3,0.23
3,0.25
3,0.23
4,0.53
4,0.56
4,0.52
4,0.51
4,0.45
5,0.58
5,0.58
5,0.60
5,0.58
5,0.58
6,0.51
6,0.50
6,0.47
6,0.46
6,0.47
7,0.54
7,0.47
7,0.60
7,0.53
7,0.56
8,0.48
8,0.46
8,0.54
8,0.54
8,0.44
