n_threads,time
1,1.02
1,1.17
1,1.41
1,2.49
1,2.48
2,2.71
2,2.64
2,2.51
2,2.50
2,2.59
3,10.84
3,7.98
3,10.12
3,4.74
3,7.98
4,6.97
4,9.95
4,8.04
4,6.09
4,6.12
5,8.68
5,9.05
5,4.28
5,9.03
5,9.27
6,7.46
6,10.81
6,7.95
6,9.49
6,6.85
7,4.57
7,4.43
7,4.21
7,4.81
7,4.63
8,5.33
8,5.11
8,5.72
8,5.09
8,5.75
