n_threads,time
2,2.13
2,2.61
2,1.70
2,1.99
2,2.03
3,1.91
3,1.80
3,1.81
3,1.85
3,1.97
4,1.71
4,1.71
4,1.88
4,1.72
4,1.75
5,1.77
5,1.63
5,1.62
5,1.86
5,1.66
6,1.45
6,1.57
6,1.68
6,1.90
6,1.96
7,1.69
7,1.65
7,1.62
7,1.85
7,1.62
8,1.70
8,1.64
8,2.25
8,4.06
8,2.60
