n_threads,time
2,0.31
2,0.35
2,0.33
2,0.31
2,0.30
3,0.33
3,0.34
3,0.35
3,0.30
3,0.29
4,0.53
4,0.79
4,0.84
4,1.07
4,0.90
5,0.80
5,0.50
5,0.68
5,0.86
5,0.97
6,0.70
6,0.72
6,0.28
6,0.50
6,0.39
7,0.44
7,0.42
7,0.53
7,0.40
7,0.32
8,0.29
8,0.28
8,0.54
8,0.33
8,0.38
