n_threads,time
2,0.22
2,0.21
2,0.22
2,0.22
2,0.21
3,0.21
3,0.23
3,0.22
3,0.21
3,0.20
4,0.59
4,0.54
4,0.54
4,0.49
4,0.54
5,0.53
5,0.52
5,0.59
5,0.51
5,0.52
6,0.41
6,0.48
6,0.43
6,0.46
6,0.46
7,0.46
7,0.46
7,0.42
7,0.47
7,0.48
8,0.45
8,0.46
8,0.51
8,0.38
8,0.46
