n_threads,time
2,1.05
2,1.82
2,2.16
2,1.11
2,1.60
3,1.13
3,1.92
3,0.96
3,1.34
3,1.78
4,1.02
4,1.16
4,0.80
4,1.84
4,1.14
5,1.00
5,1.34
5,1.34
5,0.91
5,1.34
6,1.05
6,1.04
6,1.20
6,1.27
6,1.66
7,1.24
7,1.35
7,1.28
7,1.42
7,1.40
8,1.99
8,1.15
8,0.84
8,1.00
8,1.08
