n_threads,time
2,2.18
2,2.47
2,2.57
2,2.19
2,1.70
3,2.35
3,1.79
3,1.89
3,2.28
3,2.11
4,1.98
4,1.96
4,1.90
4,1.98
4,1.87
5,1.69
5,1.60
5,1.63
5,1.86
5,1.51
6,1.51
6,1.45
6,1.60
6,1.63
6,1.85
7,1.58
7,1.62
7,1.50
7,1.48
7,1.52
8,1.69
8,1.67
8,2.01
8,1.72
8,1.80
